Reg,Bank,Status,Year,Н1.0,ROE,LN_Loans,LN_Securities,LN_Deposits,LN_Equity,LN_EBT,H4,ROA,Overdue_debt_ratio,Hedge_indicator,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2016,16.66%,4.83%,27.55,25.26,27.18,25.91,23.67,58.81%,0.62%,6.65%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2017,18.16%,10.12%,27.58,25.59,27.21,26.03,24.32,64.48%,1.61%,5.27%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2018,16.15%,7.14%,27.81,24.8,27.5,26.1,23.92,52.35%,1.14%,3.75%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2019,17.84%,3.44%,27.6,25.66,27.31,26.11,23.32,44.41%,0.52%,3.49%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2020,18.89%,4.28%,27.64,25.48,27.35,26.06,23.21,44.90%,0.61%,4.16%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2021,19.45%,5.29%,27.63,25.34,27.27,26.08,23.67,44.63%,0.83%,2.00%,1,
2,"КАБ ВИКИНГ, АО",Active,2016,37.02%,2.36%,20.59,0,20.21,20.51,17.54,3.10%,0.80%,7.67%,0,
2,"КАБ ВИКИНГ, АО",Active,2017,26.02%,2.28%,20.91,0,20.46,20.55,17.45,7.15%,0.67%,5.19%,0,
2,"КАБ ВИКИНГ, АО",Active,2018,38.19%,2.92%,20.58,0,20.07,20.58,17.03,,0.89%,1.05%,0,
2,"КАБ ВИКИНГ, АО",Active,2019,35.76%,-9.32%,20.59,0,20.26,20.3,-18.54,,-3.31%,8.17%,0,
2,"КАБ ВИКИНГ, АО",Active,2020,34.15%,1.44%,20.6,0,19.69,20.29,15.76,,0.42%,0.69%,0,
2,"КАБ ВИКИНГ, АО",Active,2021,33.49%,3.98%,20.57,0,19.65,20.31,17.23,,1.35%,0.43%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2016,38.95%,-0.52%,19.5,0,19.98,19.67,14.24,38.26%,-0.12%,5.58%,0,
21,"ПРИМТЕРКОМБАНК, ООО",Active,2017,38.09%,-3.89%,19.71,0,19.91,19.6,-17.02,53.14%,-0.66%,4.17%,0,
